ID Age Tenure WellBeing JobSat JobPerf IQ
147 31 13 7.51 8.34 5.8 104.19
148 36 8 NA 6.61 4.1 109.08
149 37 13 4.82 NA 6.02 103.41
150 41 14 6.96 NA 6.26 93.3
151 37 10 NA 6.35 4.87 95.83
152 32 13 6.47 NA 4.63 93.73
153 34 10 5.62 7.59 6.02 107.87
154 36 10 6.81 7.35 7 89.16
155 36 8 7.43 NA 6.54 100.72
156 44 7 7.28 8.25 5.57 104.9
157 44 13 6.32 NA 4.62 94.21
158 34 9 NA 7.38 4.77 102.47
159 18 6 6.54 5.57 8.48 117.22
160 41 12 NA 4.75 NA 100.88
161 24 4 4.53 NA 5.02 95.94
162 37 12 5.87 4.77 NA 95.76
163 43 11 NA 6.44 5.71 94.65
164 33 6 5.68 5.03 NA 95.08
165 37 7 7.29 5.85 5.64 102.94
166 46 14 7.43 NA 5.59 98.63
167 43 10 6.4 3.89 NA 98.82
168 30 7 7.07 7.36 6.96 114.09
169 45 8 7.23 6.01 4.58 105.08
170 44 14 NA 5.79 4.59 95.23
171 37 7 4.94 NA 7.22 109.34
172 38 7 6.71 7 6.28 98.7
173 43 14 6.37 4.38 7.15 101.42
174 40 7 5.76 NA 6.18 101.15
175 43 7 5.71 NA 5.78 93.08
176 40 13 5.81 NA 3.71 72.75
177 33 8 NA 7.64 6.53 118.55
178 37 9 7.08 NA 8.73 104.72
179 30 8 NA 5.7 7.19 111.75
180 40 13 NA 5.09 3 83.51
181 33 14 5.79 NA 7.86 104.66
182 32 8 6.68 NA 5.31 97.87
183 35 13 3.95 NA 3.18 79.47
184 36 10 NA 6.76 7.41 107.97
185 34 10 NA 6.91 8.13 112.66
186 35 12 NA 4.66 NA 105.47
187 43 18 6.63 6.52 6.95 93.9
188 40 11 NA 8.44 6.04 109.5
189 36 7 NA 5.27 5.12 90.49
190 30 5 NA 4.96 NA 87.15
191 41 12 7.12 6.72 6.31 104.17
192 39 10 NA 6.18 4.91 103.32
193 44 12 5.8 8.21 6.1 103.97
194 41 11 6.41 5.63 4.62 84.78
195 31 9 6.46 NA 6.79 107.01
196 31 6 5.11 5.96 5.99 97.51
197 38 13 7.92 NA 7.05 106.6
198 33 9 NA 5.22 4.52 89.15
199 39 11 NA 9.37 7.23 113.96
200 41 10 5.44 4.04 NA 88.78
201 38 9 5.94 5.17 2.78 89.55
202 39 11 5.58 NA 3.23 97.2
203 40 11 NA 6.55 7.37 109.15
204 42 14 NA 6.32 6.86 100.78
205 43 12 NA 6.09 7.21 111.87
206 35 9 5.25 6.74 4.82 103.36
207 37 12 5.59 NA 6.46 98.93
208 32 4 5.1 3.87 NA 92.23
209 46 10 NA 5.63 4.07 92.02
210 34 14 8.24 NA 8.3 101.31
211 37 10 5.69 5.24 7.81 102.06
212 44 13 NA 4 6.25 95.54
213 24 2 5.91 5.05 NA 116.38
214 42 13 8.04 4.58 NA 92.52
215 34 8 7.22 5.27 4.6 95.82
216 37 4 8.34 NA 6.34 113.9
217 43 10 6.9 5.08 5.89 105.94
218 34 11 6.23 NA 6.78 118.24
219 43 15 3.67 5.1 4.83 85.98
220 35 14 NA 6.7 5.39 99.25
221 40 10 NA 8.43 6.41 101.26
222 43 12 5.33 NA 5.36 98.05
223 33 6 5.65 NA 5.3 93.06
224 39 8 6.85 5.1 6.84 100.87
225 40 13 7.02 NA 6.15 97.47
226 31 7 NA 6.11 8.19 102.11
227 42 11 NA 5.95 6.53 98.99
228 40 16 6.39 NA 4.96 103.94
229 35 12 6.39 NA 5.6 104.47
230 33 11 NA 6.37 4.5 89.84
231 41 10 8.48 NA 6.36 94.52
232 40 11 8.41 NA 7.23 93.2
233 39 9 5.89 NA 5.78 97.57
234 34 6 NA 3.08 NA 93.69
235 47 8 4.82 NA 5.03 108.69
236 36 7 6.31 5.56 5.62 96.13
237 45 10 6.69 NA 6.21 99.22
238 37 4 NA 6.05 4.98 87.67
239 42 14 5.92 7.22 5.94 108.57
240 38 10 NA 8.73 5.65 105.44
241 42 10 4.18 5.09 4.89 94.17
242 42 12 NA 7.07 9.07 114.51
243 41 13 6.55 NA 7.3 103.03
244 32 10 NA 7.28 5.99 101.56
245 35 13 7.62 NA 6.01 96.28
246 40 9 NA 4.14 NA 105.34
247 38 13 NA 5.67 5.85 100.97
248 29 9 5.16 NA 6.76 95.95
249 40 11 7.36 NA 7.24 98.24
250 41 14 6.9 NA 5.85 95.87
251 51 11 NA 5.53 7.24 104.21
252 39 10 4.63 6.19 4.97 98.03
253 45 10 NA 5.89 5.72 98.85
254 36 6 6.48 NA 4.64 93.77
255 33 5 5.57 NA 4.9 99.26
256 39 13 7.3 5.06 6.6 102.77
257 36 13 5.89 NA 4.94 111.88
258 38 12 7.08 8.26 7.44 100.38
259 47 7 6.65 NA 6.48 118.11
260 41 14 NA 6.71 5.55 99.56
261 44 12 6.06 7.21 8.29 95.66
262 31 7 6.24 5.08 5.43 93.15
263 42 8 7.71 6.48 7.28 108.77
264 43 11 4.54 NA 4.21 93.6
265 46 10 4.46 5.22 3.68 99.01
266 36 8 NA 6.76 7.73 97.22
267 36 7 6.06 4.52 NA 95.39
268 43 10 6.55 8.38 5.87 116.37
269 36 7 7.45 5.92 5.49 99.87
270 30 7 3.98 4.13 NA 104.29
271 50 14 7.14 NA 6.01 93.37
272 42 10 NA 6.14 6.41 109.17
273 42 10 NA 6.94 6.04 107.1
274 40 7 5.33 NA 2.98 90.11
275 40 8 4.48 4.82 NA 105.49
276 33 14 6.21 6.17 5.93 96.53
277 45 10 NA 6.13 7.47 100.29
278 40 7 NA 3.77 5.54 99.45
279 28 5 6.75 5.97 8.31 105.9
280 36 5 NA 3.66 NA 98.59
281 39 10 8.16 NA 9.34 119.8
282 35 11 NA 4.56 NA 96.94
283 38 9 NA 6.02 6.63 99.98
284 30 6 NA 5.55 4.6 88.02
285 43 12 4.23 NA 5.86 93.14
286 42 9 NA 5.92 6.73 101.3
287 41 15 7.81 NA 7 110.58
288 31 11 6.13 5.78 2.9 103.7
289 32 11 NA 4.5 NA 82.36
290 49 13 NA 6.41 8.83 98.44
291 42 11 NA 6.22 6.33 91.88
292 30 12 NA 5.97 6.39 109
293 44 13 NA 4.04 5.42 77.89
294 34 4 NA 6.52 6.79 107.15
295 42 10 6.61 5.82 5.34 89
296 45 11 NA 7.23 8.45 105.15
297 37 10 6.82 6.42 6.17 101.14
298 36 10 NA 5.41 6.25 103.91
299 40 12 NA 5.83 3.94 98.37
300 40 10 4.93 5.79 4.61 91.32
301 37 8 NA 6.5 5.91 104.56
302 30 7 5.79 6.25 4.24 87.87
303 43 12 4.64 5.53 4.66 96.26
304 36 5 NA 5.88 6.61 102.02
305 33 9 5.08 5.35 4.81 95.67
306 36 11 NA 4.72 NA 97.12
307 36 10 NA 6.96 5.07 99.1
308 46 10 6.56 5.75 8.42 90.55
309 38 9 7.1 7.32 3.62 110.37
310 39 8 6.36 7.14 4.85 101.98
311 45 11 8.36 NA 4.52 99.44
312 34 5 5.91 5.67 7.52 96.26
313 40 13 NA 6.89 5.66 87.09
314 40 15 6.2 NA 6.31 93.34
315 40 9 5.81 7.02 7.48 98.14
316 43 10 7.48 5.93 5.91 91.61
317 30 6 NA 5.94 8.13 98.08
318 41 11 NA 4.59 NA 102.41
319 38 10 NA 4.62 NA 96.2
320 37 6 NA 7.26 6.47 102.32
321 39 14 5.9 NA 6.15 98.97
322 37 13 NA 5.06 5.6 89.43
323 41 14 4.75 5.73 6.14 120.43
324 42 9 5.12 7.03 6.78 98.27
325 42 7 5.07 NA 4.78 94.46
326 34 9 5.32 NA 5.79 98.69
327 44 9 6.84 5.06 5.8 98.73
328 31 5 NA 7.11 4.62 91.14
329 50 12 NA 5.9 5.58 94.06
330 36 4 3.83 NA 3.61 100.88
331 33 6 6.92 7.83 7.12 115.98
332 38 17 NA 4.74 NA 92.16
333 33 9 NA 7.39 7.6 104.1
334 45 15 5.31 NA 5.55 98.43
335 32 8 6.3 5.12 6.88 115.74
336 38 13 6.24 6.21 6.09 105.92
337 42 9 7 7.86 5.93 103.91
338 39 11 NA 7.44 4.78 107.46
339 34 8 5.88 4.86 NA 95.93
340 41 16 7.22 6.44 5.22 100.24
341 29 11 6.08 5.68 7.15 111.53
342 46 12 8.38 7.12 7.49 101.28
343 39 12 NA 5.56 5.73 100.89
344 42 13 5.51 NA 5.23 90.55
345 49 13 6.58 NA 5.66 101.31
346 44 13 5.34 NA 5.74 88.1
347 34 8 4.49 4.88 NA 102.08
348 37 10 7.81 NA 7.19 99.28
349 42 13 4.82 NA 6.12 85.1
350 36 5 NA 4.44 NA 106.36
351 47 17 NA 8.42 5.27 99.69
352 32 6 7.14 NA 7.03 91.44
353 41 14 7.05 NA 5.55 100.48
354 37 12 6.38 NA 7.96 108.43
355 48 16 4.94 7.53 5.34 92.12
356 41 15 NA 4.21 5.88 93.72
357 31 5 7.33 4.74 NA 99.67
358 32 5 6.56 NA 3.56 93.3
359 37 17 NA 6.03 6.03 90.1
360 33 9 NA 4.24 NA 81.75
361 25 10 5.81 5.42 6.45 97.81
362 34 7 5.52 NA 6.22 112.92
363 42 11 9.3 8.49 6.56 112.66
364 27 2 5.71 NA 5.74 83.57
365 42 10 4.7 NA 5.4 95.1
366 35 9 8.94 5.47 7.43 90.27
367 40 11 7.25 NA 6.03 97.15
368 36 11 NA 5.21 6.33 99.51
369 37 12 6.29 7.95 7.04 99.41
370 36 13 6.63 NA 4.79 101.74
371 36 13 7.26 NA 5.83 92.95
372 31 5 6.85 6.63 3.89 108.55
373 36 11 NA 5.62 8.46 105.08
374 29 7 5.32 NA 6.3 102.2
375 34 13 NA 3.72 NA 86.95
376 40 14 5.72 8.4 7.3 105.32
377 30 11 5.13 4.61 NA 100.87
378 31 9 NA 6.83 5.14 89.76
379 38 10 7.18 4.15 NA 106.49
380 30 8 4.04 4.91 NA 100.5
381 33 9 NA 4.96 NA 91.68
382 39 9 NA 4.69 NA 103.09
383 32 5 NA 6.5 4.85 105.2
384 38 6 NA 6.11 6.35 103.11
385 31 7 5.03 7.42 5.87 100.99
386 44 10 7.74 4.84 NA 103.74
387 34 12 NA 4.62 7.32 89.5
388 50 14 7.38 7.21 6.07 109
389 36 9 4.74 NA 5.95 109.99
390 39 10 4.71 3.77 NA 105.62
391 32 9 3.43 5.31 2.73 82.23
392 29 8 NA 6.18 6.87 98.66
393 27 6 NA 4.9 NA 107.52
394 37 13 5.89 NA 5.39 95.25
395 38 10 2.75 6.26 3.35 95
396 38 8 5.18 NA 5.31 85.51
397 34 8 3.65 4.2 NA 92.06
398 42 17 8.47 NA 5.87 108.71
399 32 5 4.84 NA 5.88 97.87
400 30 12 6.8 NA 6.97 98.13
401 41 6 5.87 NA 6.72 107.13
402 43 11 6.03 5.63 5.53 103.13
403 42 13 NA 3.94 6.53 97.69
404 36 8 5.06 8.38 5.13 108.3
405 37 9 NA 5.74 7.42 98.69
406 28 9 5.87 4.85 5.14 88.97
407 40 12 5.66 6.34 5.3 94.46
408 36 7 NA 3.81 NA 89.88
409 41 19 6.77 5.49 5.12 96.21
410 40 9 NA 7.89 9.31 112.6
411 45 8 6.46 NA 6.41 84.78
412 32 8 NA 2.97 NA 94.5
413 44 15 8.19 6.55 4.4 101.5
414 35 11 6.66 NA 6.73 93.01
415 45 13 5.85 NA 6.95 90.48
416 40 9 5.09 4.72 NA 93.42
417 36 11 NA 3.94 NA 103.92
418 36 11 4.04 NA 3.53 95.61
419 49 11 6.97 7.54 6.39 102.65
420 37 13 5.26 NA 5.69 97.36
421 40 10 5.34 NA 6.47 105.87
422 36 11 6.23 NA 5.56 108.69
423 40 13 6.59 8.4 8.16 121.53
424 36 9 NA 7.23 6.6 103.62
425 45 9 3.9 NA 6.11 85.8
426 32 5 4.25 NA 4.31 75.44
427 41 10 9.16 NA 7.45 91.31
428 33 8 4.8 6.98 4.59 112.12
429 44 12 NA 6.03 6.16 107.41
430 32 7 NA 6.98 4.84 93.06
431 43 12 NA 6.05 8.22 110.02
432 44 12 7.08 6.93 8.14 111.8
433 48 11 5.71 NA 6 100.31
434 25 12 NA 6.11 5.42 93.74
435 39 8 7.26 NA 7.42 99.85
436 43 12 NA 6.95 6.51 111.18
437 30 11 5 5.16 6.09 94.03
438 40 9 9.12 6.12 6.15 98.07
439 34 10 7.39 NA 8.69 115.94
440 43 14 7.12 NA 8.16 103.12
441 38 9 NA 5.19 7.68 107.02
442 43 11 NA 4.66 NA 92.31
443 31 12 6.09 NA 5.82 109.35
444 38 5 8.36 6.63 7.29 115.85
445 42 14 8.03 5.42 4.82 111.21
446 30 8 NA 4.96 NA 93.9
447 48 10 NA 7.11 5.72 115.18
448 38 11 4.52 NA 4.2 92.45
449 40 11 6.71 NA 6.57 107.51
450 45 10 7.39 4.57 NA 97.92
451 33 6 5.5 5.6 5.76 102.7
452 39 12 8.03 NA 9.47 103.63
453 36 9 NA 4.72 8.09 110.62
454 34 13 6.11 NA 6.43 94.14
455 37 19 6.32 4.73 6.56 96.12
456 31 11 4.84 NA 6.03 93.02
457 34 8 7.6 6.22 4.84 100.03
458 48 21 NA 8.3 6.16 93.57
459 47 11 6.43 7.39 4.84 106.31
460 37 7 NA 8.09 5.88 109.53
461 35 15 NA 4.69 NA 99.75
462 34 11 5.81 NA 5.61 108.25
463 42 12 7.33 NA 5.49 103.65
464 36 5 3.31 2.67 6.41 71.16
465 24 6 5.37 NA 7.06 73.76
466 36 14 5.82 5.91 6.07 102.5
467 44 11 5.51 6.98 5.31 104.99
468 42 9 7.33 NA 5.89 106.46
469 35 5 4.96 5.57 7.14 106.68
470 40 8 5.46 6.86 4.89 99.8
471 41 13 6.98 6.82 6.33 96.17
472 39 12 7.75 NA 6.19 96.49
473 41 10 NA 5.06 4.13 104.97
474 46 17 4.69 5.67 6.64 109.68
475 40 16 NA 5.53 6.93 91.76
476 40 6 NA 5.3 4.59 105.96
477 40 7 7.17 NA 5.24 103.28
478 45 17 NA 5.9 5.18 97.13
479 35 7 7.53 6.7 5.72 93.64
480 40 10 NA 7.39 6.9 102.11
